"Dates","DIS","BABA","JNJ","FB"
"2016-06-01",94.083954,76.690002,105.58226,118.779999
"2016-06-02",94.274956,77.300003,107.183113,118.93
"2016-06-03",94.303604,76.620003,107.43589,118.470001
"2016-06-06",94.332245,78.059998,108.381439,118.790001
"2016-06-07",93.921608,77.839996,108.343994,117.760002
"2016-06-08",93.625572,77.639999,108.409515,118.389999
"2016-06-09",93.434578,77.559998,109.532944,118.559998
"2016-06-10",92.957085,75.919998,109.542305,116.620003
"2016-06-13",93.176735,75.449997,109.336327,113.949997
"2016-06-14",93.969368,77.769997,109.645294,114.940002
"2016-06-15",93.845222,78.389999,108.980591,114.599998
"2016-06-16",93.950264,78.269997,109.195908,114.389999
"2016-06-17",94.542343,77,108.10994,113.019997
"2016-06-20",95.086685,78.150002,109.102287,113.370003
"2016-06-21",94.370453,78.620003,108.765266,114.379997
"2016-06-22",94.341805,78.730003,109.027374,113.910004
"2016-06-23",94.561447,79.139999,109.888687,115.080002
"2016-06-24",91.410034,76.290001,108.250366,112.080002
"2016-06-27",90.130371,74.230003,109.111664,108.970001
"2016-06-28",91.725174,76.279999,110.684441,112.699997
"2016-06-29",92.613304,78.040001,111.714233,114.160004
"2016-06-30",93.415482,79.529999,113.55851,114.279999
"2016-07-01",93.616013,79.650002,113.549156,114.190002
"2016-07-05",93.26268,78.970001,114.466591,114.199997
"2016-07-06",94.017105,78.639999,114.812988,116.699997
"2016-07-07",94.661598,79.349998,114.691292,115.849998
"2016-07-08",95.825508,78.989998,115.009567,117.239998
"2016-07-11",96.171806,81.459999,115.084465,117.870003
"2016-07-12",96.383408,81.739998,115.075119,117.93
"2016-07-13",96.0756,80.57,115.150017,116.779999
"2016-07-14",96.162178,81.739998,115.31852,117.290001
"2016-07-15",95.998642,81.25,115.150017,116.860001
"2016-07-18",96.33532,82.650002,115.28109,119.370003
"2016-07-19",95.681221,82.769997,117.256409,120.610001
"2016-07-20",94.478836,84.419998,117.153435,121.919998
"2016-07-21",94.276825,84.18,117.162788,120.610001
"2016-07-22",93.988251,84.489998,117.050446,121
"2016-07-25",93.680443,83.190002,116.919395,121.629997
"2016-07-26",93.007111,83.589996,117.162788,121.220001
"2016-07-27",92.66082,83.099998,116.807045,123.339996
"2016-07-28",92.256828,83.120003,116.51683,125
"2016-07-29",92.295296,82.480003,117.237694,123.940002
"2016-08-01",91.900909,84.339996,117.396851,124.309998
"2016-08-02",91.391106,83.800003,116.881935,123.089996
"2016-08-03",92.429955,83.669998,115.992569,122.510002
